"All Outlinks"
"Type","Source","Destination","Alt Text","Anchor","Status Code","Status","Follow"
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.flexslider-min.js?ver=2.6.0","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.waitforimages.min.js?ver=1.0","","","",""
"JS","https://data-seo.fr/","https://code.jquery.com/ui/1.10.4/jquery-ui.min.js?ver=1.10.4","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.actual.js?ver=1.0.16","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery-visibility.min.js?ver=1.0.12","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.mb.YTPlayer.js?ver=0.1","","","",""
"JS","https://data-seo.fr/","http://a.vimeocdn.com/js/froogaloop2.min.js","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.scrollTo.min.js?ver=1.4.6","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/superfish.js?ver=1.7.3","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.isotope.js?ver=1.3.110525","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.fitvids.js?ver=1.0","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/jquery.mmenu.min.js?ver=4.3.2","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-content/themes/swell/js/theme_trust.js?ver=1.0","","","",""
"JS","https://data-seo.fr/","https://data-seo.fr/wp-includes/js/wp-embed.min.js?ver=4.7.1","","","",""
"HREF","https://data-seo.fr/category/tools/","https://data-seo.fr/","","DATA-SEO","200","","true"
"HREF","https://data-seo.fr/category/tools/","https://data-seo.fr/home/","","Accueil","200","","true"
